"ámbitos territoriales","año de nacimiento","sexo","2025/01/01"
"Albiztur","1931","Total",0
"Albiztur","1930","Total",0
"Albiztur","1929","Total",1
"Albiztur","1928","Total",0
"Albiztur","1927","Total",0
"Albiztur","1926","Total",0
"Albiztur","1925","Total",0
"Albiztur","1924","Total",0
"Albiztur","1923","Total",0
"Albiztur","1922","Total",0
"Albiztur","1921","Total",0
"Albiztur","1920","Total",0
"Albiztur","1919","Total",0
"Albiztur","1918","Total",0
"Albiztur","1917","Total",0
"Albiztur","1916","Total",0
"Albiztur","1915","Total",0
"Albiztur","1914","Total",0
"Albiztur","1913","Total",0
"Albiztur","1912","Total",0
"Albiztur","1911","Total",0
"Albiztur","1910","Total",0
"Albiztur","1909","Total",0
"Albiztur","1908","Total",0
"Albiztur","1907","Total",0
"Albiztur","1906","Total",0
"Albiztur","1905","Total",0
"Albiztur","1904","Total",0
"Albiztur","1903","Total",0
"Albiztur","1902","Total",0
"Albiztur","1901","Total",0
"Albiztur","1900","Total",0
"Albiztur","1899","Total",0
"Albiztur","1898","Total",0
"Albiztur","1897","Total",0
"Albiztur","1896","Total",0
"Albiztur","<= 1895","Total",0
"Alegia","1949","Total",20
"Alegia","1948","Total",12
"Alegia","1947","Total",16
"Alegia","1946","Total",16
"Alegia","1945","Total",18
"Alegia","1944","Total",10
"Alegia","1943","Total",15
"Alegia","1942","Total",10
"Alegia","1941","Total",7
"Alegia","1940","Total",10
"Alegia","1939","Total",12
"Alegia","1938","Total",7
"Alegia","1937","Total",8
"Alegia","1936","Total",9
"Alegia","1935","Total",6
"Alegia","1934","Total",5
"Alegia","1933","Total",5
"Alegia","1932","Total",4
"Alegia","1931","Total",3
"Alegia","1930","Total",3
"Alegia","1929","Total",1
"Alegia","1928","Total",0
"Alegia","1927","Total",1
"Alegia","1926","Total",0
"Alegia","1925","Total",0
"Alegia","1924","Total",0
"Alegia","1923","Total",0
"Alegia","1922","Total",0
"Alegia","1921","Total",0
"Alegia","1920","Total",0
"Alegia","1919","Total",0
"Alegia","1918","Total",0
"Alegia","1917","Total",0
"Alegia","1916","Total",0
"Alegia","1915","Total",0
"Alegia","1914","Total",0
"Alegia","1913","Total",0
"Alegia","1912","Total",0
"Alegia","1911","Total",0
"Alegia","1910","Total",0
"Alegia","1909","Total",0
"Alegia","1908","Total",0
"Alegia","1907","Total",0
"Alegia","1906","Total",0
"Alegia","1905","Total",0
"Alegia","1904","Total",0
"Alegia","1903","Total",0
"Alegia","1902","Total",0
"Alegia","1901","Total",0
"Alegia","1900","Total",0
"Alegia","1899","Total",0
"Alegia","1898","Total",0
"Alegia","1897","Total",0
"Alegia","1896","Total",0
"Alegia","<= 1895","Total",0
"Alkiza","1949","Total",4
"Alkiza","1948","Total",1
"Alkiza","1947","Total",3
"Alkiza","1946","Total",0
"Alkiza","1945","Total",0
"Alkiza","1944","Total",2
"Alkiza","1943","Total",1
"Alkiza","1942","Total",3
"Alkiza","1941","Total",2
"Alkiza","1940","Total",0
"Alkiza","1939","Total",0
"Alkiza","1938","Total",3
"Alkiza","1937","Total",1
"Alkiza","1936","Total",0
"Alkiza","1935","Total",0
"Alkiza","1934","Total",0
"Alkiza","1933","Total",3
"Alkiza","1932","Total",0
"Alkiza","1931","Total",1
"Alkiza","1930","Total",1
"Alkiza","1929","Total",2
"Alkiza","1928","Total",0
"Alkiza","1927","Total",0
"Alkiza","1926","Total",0
"Alkiza","1925","Total",0
"Alkiza","1924","Total",0
"Alkiza","1923","Total",1
"Alkiza","1922","Total",0
"Alkiza","1921","Total",0
"Alkiza","1920","Total",0
"Alkiza","1919","Total",0
