"ámbitos territoriales","grandes grupos de edad cumplida","sexo","2025/01/01"
"Ordizia","20 - 64","Total",6033
"Ordizia",">= 65","Total",2137
"Orendain","Total","Total",241
"Orendain","0 - 19","Total",66
"Orendain","20 - 64","Total",141
"Orendain",">= 65","Total",34
"Orexa","Total","Total",99
"Orexa","0 - 19","Total",23
"Orexa","20 - 64","Total",56
"Orexa",">= 65","Total",20
"Orio","Total","Total",6197
"Orio","0 - 19","Total",1299
"Orio","20 - 64","Total",3724
"Orio",">= 65","Total",1174
"Ormaiztegi","Total","Total",1290
"Ormaiztegi","0 - 19","Total",285
"Ormaiztegi","20 - 64","Total",702
"Ormaiztegi",">= 65","Total",303
"Pasaia","Total","Total",16767
"Pasaia","0 - 19","Total",2777
"Pasaia","20 - 64","Total",10271
"Pasaia",">= 65","Total",3719
"Segura","Total","Total",1499
"Segura","0 - 19","Total",351
"Segura","20 - 64","Total",832
"Segura",">= 65","Total",316
"Soraluze-Placencia de las Armas","Total","Total",3765
"Soraluze-Placencia de las Armas","0 - 19","Total",678
"Soraluze-Placencia de las Armas","20 - 64","Total",2139
"Soraluze-Placencia de las Armas",">= 65","Total",948
"Tolosa","Total","Total",20048
"Tolosa","0 - 19","Total",3807
"Tolosa","20 - 64","Total",11523
"Tolosa",">= 65","Total",4718
"Urnieta","Total","Total",6294
"Urnieta","0 - 19","Total",1114
"Urnieta","20 - 64","Total",3936
"Urnieta",">= 65","Total",1244
"Urretxu","Total","Total",6795
"Urretxu","0 - 19","Total",1196
"Urretxu","20 - 64","Total",3978
"Urretxu",">= 65","Total",1621
"Usurbil","Total","Total",6485
"Usurbil","0 - 19","Total",1300
"Usurbil","20 - 64","Total",3875
"Usurbil",">= 65","Total",1310
"Villabona","Total","Total",5778
"Villabona","0 - 19","Total",1055
"Villabona","20 - 64","Total",3383
"Villabona",">= 65","Total",1340
"Zaldibia","Total","Total",1766
"Zaldibia","0 - 19","Total",434
"Zaldibia","20 - 64","Total",952
"Zaldibia",">= 65","Total",380
"Zarautz","Total","Total",23464
"Zarautz","0 - 19","Total",4208
"Zarautz","20 - 64","Total",13789
"Zarautz",">= 65","Total",5467
"Zegama","Total","Total",1560
"Zegama","0 - 19","Total",355
"Zegama","20 - 64","Total",866
"Zegama",">= 65","Total",339
"Zerain","Total","Total",290
"Zerain","0 - 19","Total",58
"Zerain","20 - 64","Total",151
"Zerain",">= 65","Total",81
"Zestoa","Total","Total",3908
"Zestoa","0 - 19","Total",835
"Zestoa","20 - 64","Total",2311
"Zestoa",">= 65","Total",762
"Zizurkil","Total","Total",2904
"Zizurkil","0 - 19","Total",573
"Zizurkil","20 - 64","Total",1692
"Zizurkil",">= 65","Total",639
"Zumaia","Total","Total",10001
"Zumaia","0 - 19","Total",2023
"Zumaia","20 - 64","Total",5766
"Zumaia",">= 65","Total",2212
"Zumarraga","Total","Total",9568
"Zumarraga","0 - 19","Total",1689
"Zumarraga","20 - 64","Total",5438
"Zumarraga",">= 65","Total",2441
