municipality_code,municipality_name,latitude,longitude,easting_m,northing_m,reference_period,source_id
20055,Arrasate/Mondragón,43.0673789,-2.5003604,540680.306,4768418.275,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20056,Mutriku,43.295143,-2.3980498,548828.537,4793766.675,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20057,Mutiloa,43.0284613,-2.2841288,558322.649,4764224.013,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20058,Olaberria,43.0219476,-2.2045527,564812.663,4763559.015,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20059,Oñati,43.0146641,-2.408019,548239.979,4762613.229,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20060,Orexa,43.0888836,-1.9982962,581529.722,4771172.135,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20061,Orio,43.2888891,-2.1089143,572289.91,4793281.712,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20062,Ormaiztegi,43.0419735,-2.251306,560983.384,4765747.857,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20063,Oiartzun,43.268308,-1.8259107,595281.05,4791279.819,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20064,Pasaia,43.3442105,-1.8766806,591047.508,4799652.585,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20065,Soraluze-Placencia de las Armas,43.1792229,-2.4086286,548061.431,4780887.232,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20066,Errezil,43.177386,-2.1873873,566044.01,4780833.999,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20067,Errenteria,43.2640801,-1.8731316,591455.222,4790757.546,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20068,Leintz-Gatzaga,42.9719293,-2.56133,535771.565,4757790.94,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20069,Donostia / San Sebastián,43.3068172,-1.9951112,581498.362,4795377.475,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20070,Segura,42.994938,-2.2612858,560216.437,4760517.392,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20071,Tolosa,43.1275773,-2.0911042,573929.35,4775383.077,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20072,Urnieta,43.2250271,-1.9626448,584244.191,4786326.492,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20073,Usurbil,43.2689201,-2.0654147,575843.664,4791102.62,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20074,Bergara,43.1251117,-2.4296359,546395.057,4774866.249,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20075,Villabona,43.1807343,-2.0349813,578426.388,4781337.328,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20076,Ordizia,43.0615951,-2.184044,566440.909,4767977.903,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20077,Urretxu,43.0964602,-2.330718,554466.742,4771743.985,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20078,Zaldibia,43.0231661,-2.1373069,570290.457,4763748.43,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20079,Zarautz,43.2695495,-2.1632235,567905.529,4791088.408,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20080,Zumarraga,43.0985655,-2.302583,556754.455,4771996.437,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20081,Zumaia,43.2874082,-2.2432608,561392.412,4793009.78,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20901,Mendaro,43.2416442,-2.3708972,551075.797,4787841.645,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20902,Lasarte-Oria,43.2594626,-2.0099649,580356.004,4790104.131,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20903,Astigarraga,43.2779245,-1.935408,586381.322,4792228.778,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20904,Baliarrain,43.0724991,-2.1318194,570680.905,4769231.469,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20905,Orendain,43.0786343,-2.1062921,572751.902,4769934.612,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20906,Altzaga,43.0644343,-2.1519318,569052.538,4768319.12,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
20907,Gaztelu,43.1161209,-2.0292223,578977.574,4774167.275,2025-05-07,GEOEUSKADI_MUNICIPIOS_2025
