service_id,service_name,service_category,service_type_original,municipality_code,municipality_name,latitude,longitude,address,reference_period,source_id
entityCCC1F402,Centro de Salud Mental de Martutene (Centro Penitenciario),mental_health,Centro de Salud Mental,20069,Donostia / San Sebastián,43.30296440025264,-1.9580338122309977,"Paseo Martutene, 1, 20014 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity3398F257,Equipo de psiquiatría del niño y adolescente Donostialdea,mental_health,Centro de Salud Mental,20069,Donostia / San Sebastián,43.324126638192176,-1.982705117751455,"Aldamar, 20, 20003 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity9DDE91B6,Centro de Adicciones Bitarte,other_health,Otros,20069,Donostia / San Sebastián,43.32362024816622,-1.97021249893006,"Jose Arana, 7, 20001 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityD32FC8AF,Unidad de Atención Intensiva de Día,other_health,Otros,20069,Donostia / San Sebastián,43.30844800846867,-1.9918118509528924,"Paseo Aiete, 27, 20009 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity0D8E319C,Unidad de Atención Precoz,other_health,Otros,20069,Donostia / San Sebastián,43.30844800846867,-1.9918118509528924,"Paseo Aiete, 27 - Planta 2 / 2. Solairua, 20009 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityD96EC52F,Ambulatorio de Amara Berri,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.30597269636659,-1.9820014913420856,"Javier Barkaiztegi, 2, 20010 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity2C9E9AC2,Ambulatorio de Amara Berri,primary_care,Ambulatorio,20069,Donostia / San Sebastián,43.30597269636659,-1.9820014913420856,"Javier Barkaiztegi, 2, 20010 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityA0EB5C2F,Ambulatorio de Gros,primary_care,Ambulatorio,20069,Donostia / San Sebastián,43.325420614820295,-1.970594185206822,"Avenida Navarra, 14, 20013 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity9E82AF4A,Ambulatorio de Gros,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.325420614820295,-1.970594185206822,"Avenida Navarra, 14, 20013 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityF8EC1A1C,Centro de Salud de Aiete,primary_care,Centro de Salud,20069,Donostia / San Sebastián,43.30844800846867,-1.9918118509528924,"Paseo Aiete, 27, 20009 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
