municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id,area_km2,services_hospital,services_mental_health,services_other_health,services_primary_care,services_total,primary_care_per_10000_65_plus,primary_care_per_10000_75_plus,hospital_per_10000_65_plus,hospital_per_10000_75_plus,mental_health_per_10000_65_plus,mental_health_per_10000_75_plus,other_health_per_10000_65_plus,other_health_per_10000_75_plus,representative_point_longitude,representative_point_latitude,distance_to_nearest_primary_care_m,distance_to_nearest_hospital_m,distance_to_nearest_mental_health_m,distance_to_nearest_other_health_m,metrics_reference_period,source_ids
20025,Zegama,1560,339,156,21.731,10.0,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,34.82744537230791,0,0,0,1,1,29.499,64.103,0.0,0.0,0.0,0.0,0.0,0.0,-2.3001304,42.9655239,1344.9,13181.5,13105.6,40453.8,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20026,Zerain,290,81,41,27.931,14.138,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,10.168120347619107,0,0,0,1,1,123.457,243.902,0.0,0.0,0.0,0.0,0.0,0.0,-2.287963,43.0087032,1278.6,8585.7,8953.3,36003.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20027,Zestoa,3908,762,387,19.498,9.903,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,43.662960867744346,0,0,0,1,1,13.123,25.84,0.0,0.0,0.0,0.0,0.0,0.0,-2.2481628,43.243611,900.0,11123.6,7090.0,19036.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20028,Zizurkil,2904,639,339,22.004,11.674,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,15.652089213788509,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0836756,43.2133937,2469.6,12848.1,5069.2,7906.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20029,Deba,5364,1473,687,27.461,12.808,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,50.19328260130587,0,0,0,2,2,13.578,29.112,0.0,0.0,0.0,0.0,0.0,0.0,-2.3276181,43.2579134,2001.8,4719.8,9777.6,25355.8,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20030,Eibar,27118,7101,3727,26.186,13.744,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,24.556533447491315,1,1,0,4,6,5.633,10.732,1.408,2.683,1.408,2.683,0.0,0.0,-2.4620346,43.1950117,1223.6,2162.0,1859.7,37077.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20031,Elduain,239,36,19,15.063,7.95,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,25.241712444692695,0,0,0,1,1,277.778,526.316,0.0,0.0,0.0,0.0,0.0,0.0,-1.9861256,43.1563679,2064.3,15230.1,7777.3,12199.8,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20032,Elgoibar,11659,2794,1420,23.964,12.179,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,38.826959818526255,0,0,0,1,1,3.579,7.042,0.0,0.0,0.0,0.0,0.0,0.0,-2.3995752,43.2101646,1244.2,4631.0,7117.1,31769.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20033,Elgeta,1109,227,108,20.469,9.739,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,17.518091245027914,0,0,0,1,1,44.053,92.593,0.0,0.0,0.0,0.0,0.0,0.0,-2.4801632,43.1484891,1429.8,3763.5,3997.1,39885.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20034,Eskoriatza,4227,961,497,22.735,11.758,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,40.322368866163515,0,0,0,1,1,10.406,20.121,0.0,0.0,0.0,0.0,0.0,0.0,-2.5499455,43.0024219,2261.6,8716.5,8687.0,52300.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
