municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id,area_km2,services_hospital,services_mental_health,services_other_health,services_primary_care,primary_care_per_10000_65_plus,distance_to_nearest_primary_care_m,distance_to_nearest_hospital_m,metrics_reference_period
20071,Tolosa,20048,4718,2432,23.534,12.131,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,37.18383142527306,0,1,0,2,4.239,1080.5,18670.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20072,Urnieta,6294,1244,585,19.765,9.295,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,22.410466229614745,0,0,0,1,8.039,3563.1,7555.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20073,Usurbil,6485,1310,653,20.2,10.069,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,25.75750234457092,0,0,0,1,7.634,1317.5,8286.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20074,Bergara,14725,3735,1950,25.365,13.243,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,75.62959565670559,0,0,0,3,8.032,1107.9,7660.8,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20075,Villabona,5778,1340,696,23.191,12.046,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,17.565048121076405,0,0,0,1,7.463,1691.7,13570.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20076,Ordizia,10398,2137,1119,20.552,10.762,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.680405690454408,0,0,0,1,4.679,1008.5,10759.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20077,Urretxu,6795,1621,845,23.856,12.436,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,7.527875647699799,0,0,0,0,0.0,1295.0,1574.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20078,Zaldibia,1766,380,187,21.518,10.589,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,16.65239371920689,0,0,0,1,26.316,2010.8,15792.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20079,Zarautz,23464,5467,2733,23.3,11.648,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,14.215937782590155,0,1,0,3,5.487,1866.2,15994.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20080,Zumarraga,9568,2441,1353,25.512,14.141,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,18.487392780912412,2,1,0,2,8.193,1870.8,1784.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20081,Zumaia,10001,2212,1033,22.118,10.329,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,10.684427383236713,0,0,0,1,4.521,1267.9,12202.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20901,Mendaro,2049,377,196,18.399,9.566,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,25.28093415224005,1,0,0,1,26.525,1700.5,1497.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20902,Lasarte-Oria,19808,4870,2829,24.586,14.282,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.8194150437003005,0,0,1,1,2.053,1165.2,5000.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20903,Astigarraga,7665,1038,433,13.542,5.649,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,11.987405831453735,0,0,0,1,9.634,1235.0,3174.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20904,Baliarrain,159,16,4,10.063,2.516,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,2.7421860500539017,0,0,0,1,625.0,477.9,14776.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20905,Orendain,241,34,22,14.108,9.129,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,6.4257640130465505,0,0,0,0,0.0,2044.6,16809.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20906,Altzaga,159,33,18,20.755,11.321,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,2.459615148211989,0,0,0,0,0.0,1083.5,13262.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20907,Gaztelu,179,37,11,20.67,6.145,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,9.281278521672526,0,0,0,1,270.27,400.7,20240.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
